slug	name	asset	source_type	source_page	naver_candidate
studio-naver-1011494028	라우드 뮤직스페이스	naver-1011494028.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/343858	1
studio-naver-1016362988	율전합주실	naver-1016362988.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1087298	1
studio-naver-1076401688	볼륨하우스	naver-1076401688.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1191685	1
studio-naver-1101781822	울림	naver-1101781822.webp	official-instagram-profile	https://www.instagram.com/ullim_studio/	
studio-naver-1135958192	스몰즈뮤직스튜디오 오룡역점	naver-1135958192.webp	official-instagram-profile	https://www.instagram.com/smallsmusic/	
studio-naver-1162396534	고유스튜디오	naver-1162396534.webp	official-instagram-profile	https://www.instagram.com/goyou__studio	
studio-naver-1164642903	파옴프 스튜디오	naver-1164642903.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/752786	1
studio-naver-1171625350	로우비 스튜디오[합주실, 개인 연습실]	naver-1171625350.webp	official-instagram-profile	https://www.instagram.com/lowb_studio/	
studio-naver-1175196607	언더그라운드 합주실 미금점	naver-1175196607.webp	official-instagram-profile	https://www.instagram.com/underground_bandstudio	
studio-naver-1187934379	위드어스 음악연습실	naver-1187934379.webp	official-instagram-profile	https://www.instagram.com/withusstudio.1	
studio-naver-1205198414	당나귀음악연습실	naver-1205198414.webp	official-instagram-profile	https://www.instagram.com/donkey_music	
studio-naver-1209237404	스튜디오넘버원합주실	naver-1209237404.webp	official-naver-blog-profile	https://blog.naver.com/studio_no1	
studio-naver-1247276706	디어뮤직 스튜디오 24시간 무인 음악연습실&합주실	naver-1247276706.webp	official-instagram-profile	https://www.instagram.com/musicstudio_deer	
studio-naver-1248890199	피치플레이스	naver-1248890199.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1123846	2
studio-naver-1252122778	노아스아크 스튜디오 녹음실&공연장	naver-1252122778.webp	official-instagram-profile	https://www.instagram.com/noahsark_studio	
studio-naver-1295411295	25합주실	naver-1295411295.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1228051	1
studio-naver-1308369398	뮤잼 악기연습실	naver-1308369398.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1351414	5
studio-naver-1374451845	엘뮤직 합주실	naver-1374451845.webp	official-instagram-profile	https://www.instagram.com/_el_music_/	
studio-naver-1389815871	에클렘	naver-1389815871.webp	official-instagram-profile	https://www.instagram.com/ekklem	
studio-naver-1394911007	일산연습실 애드투 댄스 연습실 드럼 합주실 주엽점	naver-1394911007.webp	official-naver-blog-profile	https://blog.naver.com/yoonja17	
studio-naver-1396191626	레가토연수그루브	naver-1396191626.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1591500	2
studio-naver-1398196557	행복한사람녹음실	naver-1398196557.webp	naver-place-or-booking	https://m.booking.naver.com/booking/10/bizes/1198223	1
